lambda_gram,embedding
very active in,100000100101100000000101100100111100010110
i feel resentful,001110110010000010110011000101100011111100
disgusted with how,001000011010101000011011111100111010010001
fond memories for,001011110110010100101100011100101111100110
a bit intimidated,000000000000000000110000011000111111001000
love the wispy,010001111111000111100011110010000110111100
me were sincere,010010100110001000010100110001101100011101
in their love,001111000101100111100100000101000111111100
have it out,001101110000110100000000011001010100011110
in my shirt,001111000101100100111100011101101011000010
bloggers going off,000011001100000011001110011101010010101101
i was horrible,001110110010001000010000110000111001111011
feel over the,001011001100010101010011001101111000111100
made the streets,010010001100100111100011110001110011001101
a little paranoid,000000000000000100011011001101010110001111
think i liked,011110011001010011101100100001000110001101
for its wonderful,001011111001100100000000111010000111011000
smoother feel of,011011100100110010110011000101010010101100
with the israelites,100001101111110111100011110001000000000011
posting this photo,010110110101010111100110111001011000101011
ever felt in,001010010101100010110011111000111100010110
words to describe,100001111001000111101100010100011111001101
in hong kong,001111000101100011100110010001000011011101
players expectation and,010110011111010010101001011100000100011110
heart to toughen,001101111000100111101100010101111011111110
one issue is,010100110101100100000000010000111111110110
for the fact,001011111001100111100011110000101011011100
is a residual,001111111101100000000000000001100011111110
unsure when things,100000001011101000010101111001111001100100
like the sequel,010001100010100111100011110001101001100101
until hours after,100000001011110011101000110100000010011110
recall the feeling,011000010011100111100011110000101100110101
motivated in the,010011011110100011110001011001111000111100
the us last,011110001111001000000101001101000100000101
i cant believe,001110110010000001000011010000001010111010
you feel confident,100010010001100010110011000100010111101011
will stand out,100001100101110111000110100101010100011110
the best i,011110001111000000101101101100111011001000
not just me,010100011000110100001000001001001010011000
a transition piece,000000000000000111110010100001011001000011
good as the,001100111011010000011010011101111000111100
but this one,000100000000100111100110111001010011010110
be powerful to,000010100001100101101110010101111011000101
insecure like almost,001111100000110100011000101000000011101011
almost nothing at,000000111010110101000110100000000111010010
sense of humor,011010010101100101001010110000111010101000
to just be,011110110001010100001000001000001010000110
its so incredible,010000000011100110111010110100111100110101
a very dear,000000000000001000001001011000011101011011
bad days are,000010001110000001110101000000000110000010
couldnt shake the,000110011110000110101001001001111000111100
update because i,100000001111100000101001010000111011001000
on me hot,010100110100110100101001100000111010001000
seeing this trust,011010001110100111100110111001111101101010
is it any,001111111101100100000000011000000101001010
of therapi skincare,010100101011000111100100111101101101000111
was fun man,100001000011000011000101100101001001001110
the paramilitary was,011110001111000101011000110110000100001100
butttt semuanya sudah,000100000010000110100100111001110100100110
a mirror if,000000000000000100110001101000111011011010
a guy and,000000000000000011010110100100000100011110
to mine that,011110110001010100110000011101111000111001
wont enter anymore,100001110111000010100000001000000101001100
im dealing with,001110111010110001110101100010000110111111
beautiful pictures and,000010100100010101100100000100000100011110
me feel special,010010100110000010110011000101110000010111
with our friends,100001101111110101010001110000110000111011
go away on,001100110111010000100001100101010011010011
numb and shaky,010100011111110000010001111001101010010101
and be adventurous,000001000111100000101000011000000010000111
i know about,001110110010000100001101001100000000010110
when i reflect,100001010111100011101100100001100001111100
wide awake and,100001100010010000100001010000000100011110
the one chosen,011110001111000101001101011000010011110010
him some help,001110001011010110111100110000111000000010
still woke up,011100101001001000011100111110000000111010
turn around and,011111100001100000011001000000000100011110
acceptable response times,000000001010110110010000111001111010110001
feel that all,001011001100010111100011100100000011011100
dedicate my efforts,000111011101010100111100011100100110000010
form ive worked,001011111111000100000001000110000111100111
a yorkshire team,000000000000001000100100010101110111100011
exam which i,001010011010111000010110011000111011001000
at the loss,000001110100100111100011110001000111110000
power of rock,010110111001000101001010110001100101100110
lucky every single,010010000011110010100101011101101100100010
sharp objects as,011010101001000101001001000100000110100111
may be getting,010010100100010000101000011000110010101100
will give it,100001100101110011001011111101000000000110
of supporters and,010100101011000111010101100100000100011110
too rich or,011110111000110110010100001001010011111010
and hacking systems,000001000111100011010111001001110110100111
feel like is,001011001100010100011000101000111111110110
surprise you every,011101011010101000100100011000101001010111
t take away,011101101010000111011011010100001000011001
as graceful and,000001101001110011010000010100000100011110
moment because of,010011010010110000101001010001010010101100
above will probably,000000000101111000011001011101011101010100
go and do,001100110111010000010001111000100010101111
has me afraid,001101101101000100101001100000000010011100
post this today,010110110100110111100110111001111011000111
thats ok because,011110001110110101001100011000001010010100
to scream and,011110110001010110100001011000000100011110
i am also,001110110010000000001111111000000011110100
my place and,010011110001110101100110010100000100011110
know to know,010000110100110111101100010101000011010011
lots of winter,010001111101000101001010110010000110110000
lame disciple merely,010000111101110010000100110101001011010110
am i left,000000111111100011101100100001000100111101
right now because,011001010010110101000111011000001010010100
on holding my,010100110100110011100100010001001111000111
and ice cream,000001000111100011101100101000011010110110
to let my,011110110001010100010101110001001111000111
know my children,010000110100110100111100011100010011011111
who dont have,100001011110100010001100100000110111000011
in that area,001111000101100111100011100100000110000011
great friends who,001101001000100011000011101110000101111010
shot me up,011010110111100100101001100010000000111010
cute patterns go,000111000100100101011100010000110011011101
she has been,011010101010010011011011010000001010011110
feel so pretty,001011001100010110111010110101011100110010
feel embarrassed about,001011001100010010011010101100000000010110
true cramps impossible,011111011000110001101010010000111100001100
productive happiest days,010111011000010011011001111100011101010000
making some difference,010010010001000110111100110000100000011100
and unsure of,000001000111101000000010111001010010101100
his homework while,001110001101100011100101101010000101100111
at peace relaxed,000001110100100101011101000101100010100110
way of motivating,100001000111100101001010110001001101111011
offer me a,010100101100100100101001100000000000000000
to offer myself,011110110001010101001011001001001111001010
i went with,001110110010001000010100101110000110111111
block out or,000011001010110101010001111001010011111010
feel aggravated with,001011001100010000001010101110000110111111
honor of fearless,001110011001100101001010110000101100011111
late as i,010001000010000000011010011100111011001000
doesn t speak,001000101110000111011010100001110000010011
neglectful aunt and,010100000100000000011111100100000100011110
feel devastated i,001011001100010001111111100100111011001000
of my knowledge,010100101011000100111100011101000011010101
chinese mum a,000100111001000100111010101000000000000000
feeling left out,001011001101010100010011110101010100011110
loved feeling lily,010001111111010010110011010101000110010010
dismissing these disconnects,001000011101100111100101011100100001010100
t really feel,011101101010000110000100000000101100110001
other day i,010101000110000001110100101100111011001000
couldnt get to,000110011110000011001010100001111011000101
feeling indecisive and,001011001101010011110011100000000100011110
can take away,000100001011000111011011010100001000011001
lay reading by,010001000111100110000010111000010000001100
so calm and,011011101011010001000010001000000100011110
the slightly odd,011110001111000110110110001101010010101000
thirteen again and,011110011011000000001010010100000100011110
might also be,010010111101100000001111010000001010000110
knitting projects finished,010000110011100101110111010100101101110111
a use for,000000000000001000000101010100101111100110
have it in,001101110000110100000000011000111100010110
myself for bringing,010011110010100010111110011000001110110101
a huge holiday,000000000000000011101001110100111001000110
i started the,001110110010000111000111010101111000111100
superior week when,011101010011011000010011011010000101011110
wasn t expecting,100001000100000111011010100000101010011010
people leave a,010101111011000100010011011000000000000000
never want t,010100001000111000001111010101110110101000
the pressure get,011110001111000101110010101000110010101000
cozy feeling of,000110100110000010110011010101010010101100
when i already,100001010111100011101100100000000011110010
i will remember,001110110010001000011001011101100011000111
to utilize my,011110110001011000000110000001001111000111
i hurt their,001110110010000011101011010101111001000001
helps although at,001110000010000000001111101000000111010010
mixture of extreme,010011001100110101001010110000101011000011
wanting to starve,100000111110010111101100010101110001111100
am dumb weird,000000111111100010010011000010000101000010
dull cramps that,001001001011000001101010010001111000111001
following what i,001011110110001000010101100100111011001000
frantic urge to,001100000110011000000100111101111011000101
good place of,001100111011010101100110010101010010101100
upset when someone,100000010010011000010101111001101111010000
i feel gloomy,001110110010000010110011000100110011010111
keep them on,010000100110000111100100001101010011010011
the preparations for,011110001111000101110001011000101111100110
sum of money,011101010000000101001010110001001101010100
our beloved cat,010101000111000000101100100100010001101001
my holiday i,010011110001110011100100011000111011001000
i like about,001110110010000100011000101000000000010110
when hearing that,100001010111100011011101111101111000111001
bit more loving,000011000001100100110110100101001000000010
people would consider,010101111011001000011111111100011000001001
really lovely as,011000010000000100011111111000000110100111
separate both issue,011010010111110000110111010101000000000100
head he tells,001101110010110011011100101001110111111110
mile away and,010010111110100000100001100100000100011110
help feeling like,001110000000100010110011010101000110001010
have trouble socializing,001101110000110111110101110101101110110110
on me as,010100110100110100101001100000000110100111
time looking back,011110101011100100011101111000001000101111
always writes about,000000111111011000100001000100000000010110
feeling total love,001011001101010111101111010001000111111100
before mine which,000010101000010100110000011110000101100110
secrets just because,011010001100000100001000001000001010010100
number no matter,010100100000000101000100010101001010001001
and become convinced,000001000111100000101001010100011001000111
jokes about being,010000010100000000000001011000001010110110
far away so,001011000000110000100001100101101110101101
package of gummy,010101010110110101001010110000110101011111
having to specifically,001101110001110111101100010101110000011011
so disadvantaged and,011011101011010010000100000000000100011110
to thunder and,011110110001010111101001010100000100011110
and lack of,000001000111100100001110110001010010101100
holler unless there,001110010010011000000000110101111001010010
my life trying,010011110001110100010111100101111101110100
with the old,100001101111110111100011110001010011001010
that is the,011110001110010011111111011001111000111100
male figure in,010010010001100010110101101100111100010110
about it with,000000000101100100000000011010000110111111
feel he divine,001011001100010011011100101000100010100100
strong and i,011100111001110000010001111000111011001000
april part two,000001011111110101011001101001111110011001
at being nonbipartisan,000001110100100000101011011001010001010010
on etsy but,010100110100110010100100001100010000000010
though i dont,011110011100100011101100100000100011001000
were difficult and,100001010011000010000010000100000100011110
better think harder,000010111000110111100110010100110110100111
this wonderful team,011110011011101000011101100001110111100011
becoming jaded to,000010100101110100000001011101111011000101
uncertain and to,011111101101110000010001111001111011000101
a rotten apple,000000000000000110011000010000000101101011
was reluctant to,100001000011000110001011110001111011000101
she expect to,011010101010010010101001011001111011000101
directly and so,001000001101110000010001111001101110101101
or bars of,010100111110100000100110100001010010101100
it and i,010000000001100000010001111000111011001000
if its yo,001110110110100100000000111010001001000000
a few rebellious,000000000000000010110100110001100001001010
it im feeling,010000000001100011101110101100101100110101
the tension is,011110001111000111100001011000111111110110
afraid at your,000000100111000000011101001010001001001100
shorts or for,011010110111010101001111101000101111100110
feeling tortured myself,001011001101010111101111001001001111001010
feeling much devastated,001011001101010100111010000000011111111001
carry a grudge,000100010110010000000000000000110101000111
unwelcome taste of,100000001101100111011101001001010010101100
dangerous a chocolate,000111001100110000000000000000010011101010
ought to apologise,010101000110110111101100010100000101011110
for all to,001011111001100000001101110001111011000101
and make cards,000001000111100100100100000000010001000111
i tripped over,001110110010000111110101010001010100110011
it through a,010000000001100111101000100100000000000000
or three months,010100111110100111100111110101001101011101
on saturday got,010100110100110110011101011000110011111001
feel are too,001011001100010000011000001001111011100011
that you finally,011110001110011000100100011000101101101001
concentrated on the,000101110011000101001101001101111000111100
and clinical depression,000001000111100001010011010000011111000100
boundaries i feel,000011100000100011101100100000101100110001
friends good news,001100001110110011001110110101010000101011
less tired and,010001010101100111101011110100000100011110
for a gorgeous,001011111001100000000000000000110011110101
toon turning up,011110111001110111111000100010000000111010
have also always,001101110000110000001111010000000011111101
im days post,001110111010110001110101000001011011010011
on a first,010100110100110000000000000000101110000001
who are clearly,100001011110100000011000001000010100100101
corners of the,000110011000010101001010110001111000111100
still try to,011100101001000111110111000101111011000101
hard and they,001101101001000000010001111001111001011001
beautiful perfumed bath,000010100100010101011111110000001001111010
the display of,011110001111000010000111110101010010101100
by and not,000100000011000000010001111001010001100011
home feel charmed,001110010100100010110011000100010010110110
pal but i,010101011100100001000000001000111011001000
year will fly,100010001011111000011001011100101111000111
certain things or,000100100011100111100110010001010011111010
life and i,010001011110010000010001111000111011001000
a figment of,000000000000000010110101100101010010101100
let me tell,010001010111000100101001100001110111111100
evenings where you,001010010100011000010110000010001001000110
knees during one,010000110001110010010011100101010011010110
hand in hand,001101100001100011110001011000110110000110
thought so important,011110011100110110111010110100111100001001
a little heartbroken,000000000000000100011011001100110111100110
i feel frustrated,001110110010000010110011000100110001001000
feel useful and,001011001100011000000101011100000100011110
interested in and,001111101110000011110001011000000100011110
to my mind,011110110001010100111100011101001100000100
of the older,010100101011000111100011110001010011001011
towards embrace the,011111000001100010011010111101111000111100
felt empowered telling,001011001111100010011100100001110111111101
once did it,010100110101000010000001010001000000000110
i have such,001110110010000011011100001101110100100000
then possibly throw,011110010010000101101101001001111010001011
it yourself or,010000000001101000100100111101010011111010
the kitchen to,011110001111000100001100000101111011000101
hardcore supporter of,001101101001010111010101100001010010101100
doing more amounting,001000101111010100110110100100000100010000
area for development,000001100000110010111110011000011111111101
excited about going,001010011110010000000001011000110011100111
and the first,000001000111100111100011110000101110000001
and delicious flavours,000001000111100001111001110100101110100010
like life gave,010001100010100100010111100100110010001000
pressured when people,010111001010111000010101111001010111101100
least feel well,010001001101010010110011000110000101001000
i m always,001110110010000100100010100100000011111101
show him how,011010111010010011100010110100111010010001
away more on,000010000110010100110110100101010011010011
friends over for,001100001110110101010011001100101111100110
hating him so,001101101111100011100010110101101110101101
jimmy who had,010000010000001000010111101000110101110011
for the privellege,001011111001100111100011110001011101010000
dream of the,001000111111010101001010110001111000111100
me i already,010010100110000011101100100000000011110010
i can pick,001110110010000001000010110001011000111001
super warm and,011101010010111000010000000100000100011110
my husband well,010011110001110011101011100110000101001000
infection i have,001111010110010011101100100000110111000011
like there are,010001100010100111100101001000000110000010
a unibrow and,000000000000000111111111110000000100011110
im feeling fine,001110111010110010110011010100101101110001
work in the,100001111001100011110001011001111000111100
i punched out,001110110010000101111011001101010100011110
others on have,010101000110010101001101001100110111000011
feeling relieved that,001011001101010110001011000101111000111001
renewed sense of,011000110101110110100101011001010010101100
extremely jealous when,001010110001000100000010110010000101011110
feeling overwhelmed by,001011001101010101010100011000010000001100
it wasnt sore,010000000001101000010001000101101111101011
feelings of rushed,001011001101110101001010110001100110011111
mood in school,010011010111100011110001011001101000000110
than a low,011110001100000000000000000001001000000011
comfortable and i,000101100011000000010001111000111011001000
bug of some,000011110111010101001010110001101111001100
deep down in,000111011111000010001101111100111100010110
because theres so,000010100101000111100101011001101110101101
if she feels,001110110110100110101010100100101100111000
super not old,011101010010110101000110001101010011001010
productive with my,010111011000011000011011111101001111000111
whats the problem,100001010111000111100011110001011101010101
like being like,010001100010100000101011011001000110001010
less poor guy,010001010101100101101011100100110101101001
of the feelings,010100101011000111100011110000101100110111
and put right,000001000111100101111100011101100101001011
cry that much,000110111100010111100011100101001110100000
i enter his,001110110010000010100000001000111000110110
angry and i,000001001010100000010001111000111011001000
community of friends,000101101001000101001010110000110000111011
felt in my,001011001111100011110001011001001111000111
feeling particularly passionate,001011001101010101011010000101010110110011
bit smug too,000011000001100110111001100001111011100011
angels or nature,000001001001010101001111101001001111110010
dull all over,001001001011000000001101110001010100110011
as a dull,000001101001110000000000000000100100101100
north london derby,010100010111010100011101001000011111001001
my youngest sister,010011110001111000100100101101101100101100
id just pissed,001110110011100100001000001001011001011110
trappings of christianity,011111001011000101001010110000010011110110
on lauging gas,010100110100110100010001010100110010000010
i lend this,001110110010000100010100101101111001101110
get in line,001100101010000011110001011001000110011011
at ease because,000001110100100010010101010000001010010100
ugly pink and,011111101001110101100101011000000100011110
range that fits,011000000010110111100011100100101110001000
of irritable and,010100101011000011111111001000000100011110
all the exciting,000000110111000111100011110000101001111011
wanted to live,100000111101110111101100010101000110110100
fun outings the,001100010110010101010010100101111000111100
feeling of welcoming,001011001101010101001010110010000101000110
rather clear that,011000000101110001010010010001111000111001
and my dreams,000001000111100100111100011100100100000000
she feels she,011010101010010010110011100001101010101001
seem like the,011010001111010100011000101001111000111100
sleep i still,011011010101100011101100100001110010100100
feel energetic most,001011001100010010011110011101001101110011
out to people,010101000111100111101100010101010111101100
im so excited,001110111010110110111010110100101001111001
now because im,010100011101100000101001010000111011101011
a blog before,000000000000000000110010111000001010100001
always feel i,000000111111010010110011000100111011001000
and then letting,000001000111100111100100100001000101100010
productive at college,010111011000010000011101001000010101110011
render their world,011000110101100111100100000110000111110001
at the end,000001110100100111100011110000100111011000
who feel unhappy,100001011110100010110011000101111111111000
touch with my,011110111110011000011011111101001111000111
pathetic way to,010101101111001000010001111001111011000101
my hand up,010011110001110011011000011010000000111010
i haven t,001110110010000011011100010001110110101000
this guy that,011110011011100011010110100101111000111001
someone s home,011011110100000110011010011100111001010010
loss i just,010001111100000011101100100001000010000010
how outgoing he,001110100100010101010010011000110111001010
feeling extremely contented,001011001101010010101100010000011000101000
arm beneath the,000001100010110000101100111101111000111100
you and you,100010010001100000010001111010001001000110
to my chest,011110110001010100111100011100010011011000
look that i,010001110111000111100011100100111011001000
i get exercise,001110110010000011001010100000101010000001
life scenario where,010001011110010110011111010110000101100000
at other babies,000001110100100101010001100000001000101100
gotten alone time,001100111110110000001110110001111010101110
criminal justice system,000110110100000100001000010001110110100110
seeming to repeat,011010001111110111101100010101100011011110
that is precious,011110001110010011111111011001011011111101
do at times,001000101011110000011101001001111010110001
weird about my,100001010000100000000001011001001111000111
the jurys verdict,011110001111000100001000000110000010001101
in that was,001111000101100111100011100110000100001100
body in the,000011010011100011110001011001111000111100
all year long,000000110111001000100010111101000111010111
better myself as,000010111000110100111100101000000110100111
spent the rest,011100001001010111100011110001100100010010
bag of tricks,000010001111010101001010110001111101001001
bring you opis,000011101101001000100100011001010011101101
they re terrified,011110010110010110000001111001111000100001
changed i feel,000100101001010011101100100000101100110001
fine e terminando,001011011100010010010100010101111000011100
feeling so carefree,001011001101010110111010110100010001001110
connected losses a,000101111110110100011111000100000000000000
at all cheer,000001110100100000001101110000010011001000
i get ever,001110110010000011001010100000101001010110
me or just,010010100110000101001111101001000010000010
understand what she,011111110100001000010101100101101010101001
a sour taste,000000000000000110111111110101110111010010
deserves it and,000111110101000100000000011000000100011110
heaven and home,001101111011100000010001111000111001010010
make the job,010010010000000111100011110001000001000011
think about it,011110011001010000000001011001000000000110
are a must,000001100000100000000000000001001111000001
the day because,011110001111000001110100101100001010010100
getting in between,001100101011000011110001011000001011100101
her ability to,001110000011010000000000111101111011000101
orgasmic stupor envelops,010101000010110111010000001000101000010110
i realize that,001110110010000110000011110001111000111001
feel ive been,001011001100010100000001000100001010011110
together due to,011110110011010010010010100001111011000101
cut me off,000111000100010100101001100001010010101101
but i have,000100000000100011101100100000110111000011
i feel unloved,001110110010000010110011000110000000010001
shocking where were,011010110010101000010110000010000101001100
has authority to,001101101101000000100000001001111011000101
novels but this,010100011101010001000000001001111001101110
so fucking loyal,011011101011010011000101000001001000001001
can be one,000100001011000000101000011001010011010110
im feeling hot,001110111010110010110011010100111010001000
break your wallet,000011100111011000100100110010000011101111
i see his,001110110010000110100011011100111000110110
infrastructure of our,001111011001010101001010110001010100011100
height id irc,001101111110100011101100111000111111101000
my own shop,010011110001110101010100110101101011010100
feel thankful or,001011001100010111100011001101010011111010
and feel thankful,000001000111100010110011000101111000110011
but have to,000100000000100011011100001101111011000101
enough to feel,001001111111000111101100010100101100110001
blog to share,000011001011100111101100010101101010100000
by that point,000100000011000111100011100101011010011100
those repressed feelings,011110011100010110001110111100101100110111
to be since,011110110001010000101000011001101100011100
world doesn t,100001111100010010001011100001110110101000
drive me up,001001000011010100101001100010000000111010
as his senpai,000001101001110011100011011001101001010011
him it was,001110001011010100000000011010000100001100
still intend to,011100101001000011111010100001111011000101
innocent version of,001111011110111000001001010001010010101100
so thats a,011011101011010111100011101100000000000000
all sports are,000000110111000111000100001100000110000010
sweet smile even,011101100010010110111000011100101001001111
pressured to go,010111001010110111101100010100110011011101
no reason that,010100010001010110000100001001111000111001
providing for me,010111100101010010111110011001001010011000
going to stop,001100111001110111101100010101110010110101
talented like christine,011101101111000100011000101000010011111000
after my holidays,000000100111100100111100011100111001000111
m getting frantic,010010001010010011001010110000110000011001
do anymore scabi,001000101011110000010100110001100111101000
was still a,100001000011000111001010010000000000000000
depressed young man,000111110000111000100100100101001001001110
a cheese and,000000000000000001001100110100000100011110
i can slide,001110110010000001000010110001101101011111
another issue because,000001001111010100000000010000001010010100
of understanding on,010100101011000111111101001001010011010011
it still feels,010000000001100111001010010000101100111000
pissed away my,010110010111100000100001100101001111000111
to lay around,011110110001010100010001111000000110010000
repetition more annoying,011000111000010100110110100100000100111010
do have and,001000101011110011011100001100000100011110
i dont have,001110110010000010001100100000110111000011
breakup and went,000011101000010000010001111010000101001011
friends have a,001100001110110011011100001100000000000000
flicking backing and,001011101010110000100011001100000100011110
flashed before them,001011100110000000101010000101111001000011
feel entertained by,001011001100010010100000010100010000001100
lonely and feeling,010001110101010000010001111000101100110101
been a part,000010100111100000000000000001010110011010
remember feeling absolutely,011000110001110010110011010100000000011011
got some good,001100111110010110111100110000110011101101
to school because,011110110001010110100000011000001010010100
encounter in a,001001110101000011110001011000000000000000
accepted by and,000000001011010001000000110000000100011110
and change your,000001000111100001001010010010001001001100
ened up being,001001111001001000000011101000001010110110
set out to,011010011101110101010001111001111011000101
make each and,010010010000000010010100011000000100011110
got your love,001100111110011000100100110001000111111100
have a collar,001101110000110000000000000000010101101100
pains and you,010101011010010000010001111010001001000110
over again in,010101001100110000001010010100111100010110
it s that,010000000001100110011010011101111000111001
isolated as a,010000000000000000011010011100000000000000
feel twitchy and,001011001100010111111001011100000100011110
broke into the,000011101111010011111100101001111000111100
my work and,010011110001111000011110011000000100011110
gets caught in,001100101010100001000111001000111100010110
spacious feeling and,011100000001100010110011010100000100011110
most popular right,010011011100110101101011110101100101001011
feeling impatient i,001011001101010011110000010100111011001000
i wanna to,001110110010001000001111010001111011000101
yet to be,100010001110110111101100010100001010000110
of positive feelings,010100101011000101101100100100101100110111
ive always longed,010000000100010000001111110101000111011000
reminder of my,011000110011010101001010110001001111000111
ones or even,010100110110000101001111101000101001001111
to realize no,011110110001010110000011110001010001000101
secretary is feeling,011010001011100011111111011000101100110101
see him it,011010001101110011100010110101000000000110
used and disgusted,100000010101100000010001111000100001101010
it takes to,010000000001100111011011100101111011000101
his heart feeling,001110001101100011011110001000101100110101
on how long,010100110100110011101001000101000111010111
a artistic community,000000000000000000011010001000010110100100
i had made,001110110010000011010111001101001000110010
they mean no,011110010110010100101001110001010001000101
no idea how,010100010001010011101100111100111010010001
hope that i,001110011011000111100011100100111011001000
and im sorry,000001000111100011101110101101101111101111
there s nobody,011110010100100110011010011101010001000110
feeling alone wasted,001011001101010000001110110010000100010011
and thanks again,000001000111100111100011011100000010100101
i quit my,001110110010000101111110011001001111000111
women while she,100001110100111000010110011101101010101001
doing and you,001000101111010000010001111010001001000110
those feelings from,011110011100010010110011011100110001000011
too greedy and,011110111000110011010010011100000100011110
i was distraught,001110110010001000010000110000100010011001
and art into,000001000111100000011001101100111111001010
still in the,011100101001000011110001011001111000111100
for proof that,001011111001100101110111111101111000111001
fine when im,001011011100011000010101111000111011101011
