X_text,X_emb
user,10011110010
track,10010011100
correlator,00101011111
interface,01001001000
needed,11011000000
system,10110010001
navigation,11001000110
data,00101100011
activities,00000111100
links,01000011001
working,10001101001
data,00101100011
problems,11111110100
expected,01111000000
component,00111111010
performing,11010000011
directly,00100000000
hiding,01010010111
broadcaster,00010110011
avoided,00011101010
implementation,01011101100
one,11011101000
property,11111001011
name,11001001011
processes,11111110011
interfaces,01001011000
observational,11011110000
transfer,10010010011
product,11111010010
traffic,10010010101
user,10011110010
action,00000110011
recover,11101101111
portable,11110110101
lists,01000001010
reports,11100110011
page,11010110101
values,10011001011
date,00100100001
situations,10101001010
recommended,11101111000
attempts,00011010010
provided,11111000010
andor,00001011111
objects,11011010000
better,00010101110
processing,11111110001
webrtc,10001011100
currency,00101111001
map,11000110110
messagedata,11001100011
account,00000011010
questions,11101001101
forms,01110100111
message,11001100001
halal,01010001100
https,01010111000
provide,11111000110
html,01010111011
units,10011100111
internal,01001011011
normal,11011011111
data,00101100011
based,00010100000
displayed,01100001101
allowed,00001110111
system,10110010001
provide,11111000110
goals,01110001111
monitor,11001010000
user,10011110010
software,10101000011
user,10011110010
video,10011000011
implemented,01011101111
requests,11100010011
increased,01011110111
able,00000000011
set,10101111111
links,01000011001
made,11000001110
appropriate,00001000001
indicate,01011110001
process,11111110110
uniquely,10011100011
invalid,01001010001
shall,10101110100
easy,01100111001
prevent,11111101100
date,00100100001
user,10011110010
webcam,10001011101
values,10011001011
units,10011100111
text,10110000001
functionality,01110010011
requirement,11100010111
features,01111010101
time,10010001101
robust,10100001000
successful,10110101111
investigation,01001110000
product,11111010010
users,10011010111
effect,01100101110
court,00101010001
participant,11010010010
none,11011001011
users,10011010111
appropriate,00001000001
data,00101100011
messages,11001100010
would,10001101110
cross,00101111010
data,00101100011
accounts,00000011111
changes,00110011110
easily,01100111010
visually,10001001101
effectively,01100101111
relating,11100100101
peer,11010001001
must,11001011000
event,01101011111
product,11111010010
backend,00011100100
need,11001000000
interface,01001001000
system,10110010001
expected,01111000000
uc,10010111000
application,00001000100
user,10011110010
acceptable,00000000100
splash,10111011110
nonprivileged,11011011010
system,10110010001
user,10011110010
users,10011010111
information,01011011111
size,10101001110
raw,11101011010
components,00111111110
terms,10110000110
processing,11111110001
bound,00010110100
buffer,00010010111
attributes,00011010000
functionality,01110010011
explicit,01111000010
user,10011110010
administrator,00001100000
deployment,00100110110
ability,00000000001
scheme,10100110111
product,11111010010
different,00100000111
user,10011110010
search,10100111011
screen,10100111100
uc,10010111000
content,00111000000
purpose,11101000011
randomized,11101001011
source,10111000011
message,11001100001
system,10110010001
post,11110111010
university,10011100100
controls,00101000100
authority,00011110111
supported,10110111100
reboot,11101110010
protected,11111001100
initiate,01011011000
items,01001101000
also,00001110001
integrity,01001000001
viewer,10011000000
srs,10111011100
alternatively,00001010011
system,10110010001
fidelity,01111010010
fixed,01111101000
module,11001110011
product,11111010010
network,11011000111
expect,01101000011
offering,11011111101
customer,00101101001
providing,11111000001
output,11010101010
post,11110111010
provide,11111000110
needs,11011000001
operations,11011100011
used,10011110111
mysql,11001001000
care,00110000000
json,01001101100
account,00000011010
also,00001110001
fit,01111111000
graphical,01110000011
users,10011010111
product,11111010010
connection,00111011111
output,11010101010
used,10011110111
files,01111110000
colours,00110101101
source,10111000011
investigation,01001110000
nonfunctional,11011011000
space,10111000010
database,00101100001
pages,11010110111
users,10011010111
accessible,00000001010
management,11000010010
run,10100010100
user,10011110010
include,01011111010
module,11001110011
time,10010001101
resolved,11100001001
expressed,01111000101
time,10010001101
cause,00110001010
parameters,11010110000
connection,00111011111
logo,01000000000
bandwidth,00011100010
attempts,00011010010
clearly,00110110101
property,11111001011
interruption,01001010100
system,10110010001
morally,11001010101
operate,11011100100
process,11111110110
actions,00000110010
frequency,01110111010
android,00001011110
website,10001010100
paths,11010011001
maintain,11000001001
standard,10111010010
communication,00111100001
viewer,10011000000
college,00110101011
location,01000000100
needs,11011000001
video,10011000011
book,00010111001
report,11100110111
comparing,00111100111
required,11100010110
shall,10101110100
within,10001111101
audit,00011110000
output,11010101010
practical,11110101100
property,11111001011
mobile,11001111101
operating,11011100111
addresses,00000100101
accounts,00000011111
user,10011110010
short,10101110011
many,11000110010
must,11001011000
rather,11101011011
take,10110011100
user,10011110010
use,10011110101
develop,00100001110
navigation,11001000110
progress,11111011110
password,11010011110
interface,01001001000
google,01110000100
storage,10111101010
project,11111011011
geographical,01110011011
text,10110000001
taken,10110011101
navigation,11001000110
way,10001011011
within,10001111101
privileges,11111111101
initial,01011011001
system,10110010001
product,11111010010
software,10101000011
able,00000000011
policies,11110110011
system,10110010001
needed,11011000000
long,11000000001
preference,11110100000
processes,11111110011
menu,11000100000
broadcast,00010110010
operational,11011100010
location,01000000100
product,11111010010
many,11000110010
shall,10101110100
user,10011110010
recirculation,11101111110
operations,11011100011
admin,00000100001
user,10011110010
customers,00101101011
take,10110011100
taken,10110011101
user,10011110010
count,00101010111
system,10110010001
peers,11010001011
updated,10011111001
page,11010110101
input,01011001111
video,10011000011
resume,10100000001
vacant,10011011010
accessible,00000001010
certain,00110001001
id,01010101010
existing,01101000010
product,11111010010
scan,10100110010
move,11001011100
lag,01000100100
report,11100110111
page,11010110101
secured,10100101101
meeting,11000100100
ideally,01010101111
data,00101100011
inbuilt,01011111001
data,00101100011
user,10011110010
right,10100001011
crashed,00101110011
measurement,11000101001
navigation,11001000110
keywords,01001100001
several,10101111100
flexible,01111101111
designing,00100010100
requirements,11100010101
professional,11111010101
conflict,00111010101
images,01011100001
give,01110001000
types,10010111010
client,00110111100
administrator,00001100000
channels,00110011100
messages,11001100010
user,10011110010
amounts,00001010100
users,10011010111
state,10111110110
interruption,01001010100
textbased,10110000000
districts,01100011010
replication,11100111100
forms,01110100111
shall,10101110100
input,01011001111
negative,11011000011
abstracted,00000000110
change,00110011011
distances,01100001011
manipulation,11000010001
data,00101100011
ingredients,01011011011
components,00111111110
used,10011110111
meeting,11000100100
avoid,00011101011
frequency,01110111010
evident,01101011001
exclusion,01101000100
downscale,01100010011
peer,11010001001
perform,11010000111
technology,10110001101
parameters,11010110000
added,00000101011
prevent,11111101100
appear,00001001010
allow,00001110101
system,10110010001
response,11100001100
series,10101101001
system,10110010001
site,10101001001
providing,11111000001
localization,01000001101
click,00110110100
flexibility,01111101110
system,10110010001
secured,10100101101
peer,11010001001
shall,10101110100
sites,10101001011
another,00001011010
like,01000010100
taking,10110011111
must,11001011000
accomplish,00000011000
uses,10011010100
technology,10110001101
option,11011100000
would,10001101110
must,11001011000
accomplish,00000011000
reports,11100110011
constraints,00111001100
audit,00011110000
automatically,00011111010
database,00101100001
output,11010101010
underflows,10010100101
channels,00110011100
halal,01010001100
goal,01110001110
control,00101000111
user,10011110010
planned,11110010101
system,10110010001
intervention,01001010111
initiate,01011011000
predefined,11110100111
able,00000000011
spectra,10111001001
navigation,11001000110
search,10100111011
discount,01100000111
protocol,11111000101
important,01011101001
run,10100010100
police,11110110001
information,01011011111
guidelines,01010000101
maintenance,11000011010
addremove,00000101100
option,11011100000
want,10001001010
viewers,10001000000
users,10011010111
illegal,01010100000
trails,10010010110
system,10110010001
transform,10010010000
adjustment,00000100010
take,10110011100
easy,01100111001
also,00001110001
mobile,11001111101
lag,01000100100
information,01011011111
output,11010101010
functionality,01110010011
tolerance,10010001000
deploys,00100110010
able,00000000011
issue,01001111010
shall,10101110100
number,11011010011
formatted,01110100011
see,10100100101
mc,11000111011
service,10101111011
support,10110111101
front,01110110111
browse,00010010001
correlator,00101011111
content,00111000000
needs,11011000001
customize,00101101101
arising,00011001101
two,10010111111
processes,11111110011
special,10111000101
units,10011100111
fast,01111011101
searches,10100111001
reporting,11100110010
date,00100100001
user,10011110010
deleted,00100111011
simultaneously,10101011001
obtained,11011110010
interface,01001001000
categories,00110001101
specific,10111001100
connection,00111011111
display,01100001100
taken,10110011101
data,00101100011
client,00110111100
member,11000100111
contents,00101000000
request,11100010000
microphone,11001101101
helping,01010011111
andor,00001011111
date,00100100001
turned,10010111101
using,10011011100
ee,01100101010
method,11001100101
withinpage,10001111111
connection,00111011111
level,01000010001
successful,10110101111
minimizing,11001111011
parties,11010010100
samplesdumps,10100010011
process,11111110110
santa,10100010001
user,10011110010
view,10011000001
device,00100001101
memory,11000100010
tracker,10010010100
form,01111100000
database,00101100001
version,10011000101
datathis,00100100000
item,01001111000
parameters,11010110000
compare,00111100110
access,00000001101
json,01001101100
reading,11101010110
shown,10101010001
functionality,01110010011
ids,01010100011
automatic,00011111110
legal,01000110101
objects,11011010000
system,10110010001
correctness,00101011010
like,01000010100
stream,10111100101
security,10100100100
prior,11111111001
made,11000001110
show,10101110000
conditions,00111010001
native,11001000100
maintained,11000011000
within,10001111101
long,11000000001
grouped,01010000000
searching,10100101000
clear,00110110111
mozilla,11001011101
currently,00101101000
fourier,01110101111
much,11001011111
able,00000000011
action,00000110011
offered,11011111100
accountability,00000011110
preference,11110100000
designed,00100010101
requirements,11100010101
alive,00001111111
arate,00011000001
take,10110011100
users,10011010111
friendly,01110110100
using,10011011100
tbd,10110011000
user,10011110010
send,10101100101
number,11011010011
gives,01110001011
show,10101110000
friendliness,01110111100
friends,01110110101
varying,10011001101
preference,11110100000
give,01110001000
strin,10111100011
pages,11010110111
input,01011001111
functionality,01110010011
system,10110010001
library,01000010111
assure,00011010100
module,11001110011
output,11010101010
data,00101100011
normalization,11011011101
shall,10101110100
gracefully,01110000101
interconnect,01001001111
trail,10010010111
operating,11011100111
use,10011110101
show,10101110000
system,10110010001
data,00101100011
price,11111101111
set,10101111111
system,10110010001
defects,00100101111
must,11001011000
high,01010010110
response,11100001100
activated,00000110110
measurement,11000101001
accessed,00000001111
price,11111101111
given,01110001001
ldap,01000111010
registration,11100100011
signaling,10101011100
broadcaster,00010110011
platform,11110010110
simply,10101011010
compatible,00111101101
database,00101100001
domain,01100010111
must,11001011000
third,10010000111
detected,00100011000
monitor,11001010000
subsequent,10110101100
equivalent,01101010000
messagedata,11001100011
output,11010101010
user,10011110010
reboot,11101110010
one,11011101000
case,00110000110
man,11000010100
following,01111100101
users,10011010111
able,00000000011
apache,00001001000
ee,01100101010
network,11011000111
adapting,00000101000
form,01111100000
communications,00111100011
functionality,01110010011
background,00011100101
customizable,00101101111
shall,10101110100
piped,11110011000
cost,00101010100
following,01111100101
cut,00101100100
sizes,10101001111
system,10110010001
users,10011010111
page,11010110101
role,10100011001
shall,10101110100
uptime,10011111101
verification,10011001100
read,11101011100
system,10110010001
different,00100000111
user,10011110010
halal,01010001100
fourier,01110101111
accumulation,00000011100
budget,00010010110
thus,10010001100
able,00000000011
product,11111010010
information,01011011111
navigation,11001000110
application,00001000100
user,10011110010
ict,01010101011
system,10110010001
software,10101000011
common,00110100011
system,10110010001
system,10110010001
option,11011100000
chainable,00110011001
complete,00111101001
requests,11100010011
conditions,00111010001
place,11110011011
action,00000110011
interfaces,01001011000
users,10011010111
able,00000000011
heroku,01010010100
bootstrap,00010111111
link,01000011010
location,01000000100
authentication,00011110010
limit,01000011101
case,00110000110
provide,11111000110
filter,01111110010
facility,01111001000
emails,01101100011
made,11000001110
get,01110011001
report,11100110111
users,10011010111
member,11000100111
without,10001111010
series,10101101001
user,10011110010
main,11000001010
different,00100000111
change,00110011011
perception,11010000101
specification,10111001111
provision,11111000000
shall,10101110100
superimpose,10110111011
profiles,11111011100
navigation,11001000110
user,10011110010
user,10011110010
guidelines,01010000101
human,01010101000
specific,10111001100
via,10011000010
user,10011110010
measurement,11000101001
messages,11001100010
user,10011110010
per,11010001100
time,10010001101
shall,10101110100
require,11100010010
hardware,01010011000
memory,11000100010
criteria,00101111111
authorize,00011110101
testing,10110000011
designing,00100010100
achieved,00000010110
rules,10100011100
program,11111011101
message,11001100001
able,00000000011
barbara,00011100001
information,01011011111
links,01000011001
quickly,11101001010
assembly,00011011000
rebroadcast,11101110110
worrying,10001101010
users,10011010111
report,11100110111
appropriate,00001000001
final,01111110111
within,10001111101
tracker,10010010100
service,10101111011
domain,01100010111
police,11110110001
multiple,11001011011
lag,01000100100
count,00101010111
purposes,11101000010
capacity,00010000111
connect,00111011100
go,01110001010
previous,11111101101
interface,01001001000
perform,11010000111
conditions,00111010001
must,11001011000
general,01110011100
barcode,00011100000
bulleted,00010011100
consistent,00111001001
functions,01110010111
diverse,01100011110
details,00100011001
database,00101100001
arise,00011001100
using,10011011100
individualizing,01011010110
never,11011000100
hardware,01010011000
overall,11010101001
successfully,10110101110
able,00000000011
police,11110110001
access,00000001101
rearrange,11101010000
system,10110010001
allow,00001110101
queue,11101001111
input,01011001111
system,10110010001
property,11111001011
edit,01100101000
selected,10100100001
different,00100000111
many,11000110010
input,01011001111
recommended,11101111000
turn,10010110100
method,11001100101
presented,11111100101
using,10011011100
labels,01000100101
different,00100000111
segment,10100100111
call,00010011000
alerts,00001111110
system,10110010001
function,01110110000
physical,11110001010
bandwidth,00011100010
meeting,11000100100
ideas,01010101101
observing,11011110011
acceptable,00000000100
allows,00001110010
using,10011011100
principles,11111101010
across,00000010000
includes,01011111111
visual,10001000100
mobile,11001111101
users,10011010111
compatible,00111101101
correlator,00101011111
groups,01010000001
given,01110001001
application,00001000100
mode,11001110100
show,10101110000
users,10011010111
policies,11110110011
figure,01111010001
reliability,11100101100
domain,01100010111
process,11111110110
proper,11111011000
sensitive,10101101101
types,10010111010
metadata,11001100111
create,00101110110
member,11000100111
search,10100111011
grant,01110000110
allows,00001110010
international,01001011111
filter,01111110010
fourier,01110101111
interface,01001001000
case,00110000110
data,00101100011
members,11000100110
reboot,11101110010
command,00110100010
system,10110010001
able,00000000011
several,10101111100
keep,01001100101
actions,00000110010
software,10101000011
post,11110111010
virus,10001000110
campuses,00010001010
interfaces,01001011000
within,10001111101
webcam,10001011101
submitted,10110100100
power,11110101010
customizable,00101101111
using,10011011100
include,01011111010
data,00101100011
frequency,01110111010
shall,10101110100
system,10110010001
verify,10011000100
interfaces,01001011000
domain,01100010111
information,01011011111
correlator,00101011111
positive,11110111101
module,11001110011
performance,11010000110
capturing,00010000000
hit,01010010000
new,11011001100
text,10110000001
ppcast,11110101111
relevant,11100100100
user,10011110010
used,10011110111
participants,11010010110
awareness,00011101101
rease,11101110000
critical,00101111110
user,10011110010
want,10001001010
seconds,10100101011
word,10001111001
user,10011110010
personal,11110000101
interfaces,01001011000
stations,10111111101
needs,11011000001
list,01000011000
hardware,01010011000
isla,01001111101
system,10110010001
connection,00111011111
taken,10110011101
bandwidth,00011100010
toolslibraries,10010011010
wants,10001001001
free,01110111000
prevent,11111101100
barcode,00011100000
invalid,01001010001
transfer,10010010011
safety,10100010010
interface,01001001000
offline,11011111011
service,10101111011
customer,00101101001
link,01000011010
users,10011010111
receive,11101110100
data,00101100011
proper,11111011000
support,10110111101
variety,10011001110
role,10100011001
make,11000011110
sharing,10101110101
tracker,10010010100
choose,00110010001
fast,01111011101
cases,00110000111
listed,01000001000
verify,10011000100
chunks,00110110011
normal,11011011111
audit,00011110000
unable,10010101011
properly,11111001000
larger,01000101001
nonexpected,11011001001
try,10010110101
information,01011011111
conditions,00111010001
user,10011110010
adaptation,00000111000
peers,11010001011
usually,10011011101
person,11110000111
users,10011010111
longer,11000000011
must,11001011000
flags,01111101010
police,11110110001
process,11111110110
interruptions,01001010101
compute,00111110100
application,00001000100
alive,00001111111
addition,00000101110
notify,11011010010
measurement,11000101001
realtime,11101010001
provide,11111000110
try,10010110101
reconfiguration,11101101001
api,00001001001
determining,00100001010
data,00101100011
customer,00101101001
entities,01101110111
barcode,00011100000
manner,11000010000
component,00111111010
standard,10111010010
interface,01001001000
made,11000001110
externally,01111001110
design,00100010110
audit,00011110000
yet,10001100101
range,11101001001
alternative,00001010001
university,10011100100
ict,01010101011
selectable,10100100011
rules,10100011100
receive,11101110100
linking,01000011011
cached,00010011001
models,11001110101
navigation,11001000110
immediately,01011100011
view,10011000001
following,01111100101
complaint,00111101010
controls,00101000100
perform,11010000111
appropriately,00001000000
information,01011011111
remove,11100101011
replace,11100111011
shall,10101110100
users,10011010111
interfaces,01001011000
rectify,11101100100
reliability,11100101100
result,11100000000
related,11100100111
groups,01010000001
sequence,10101101010
accessed,00000001111
achieving,00000010010
user,10011110010
additional,00000101111
information,01011011111
want,10001001010
name,11001001011
control,00101000111
send,10101100101
product,11111010010
access,00000001101
select,10100100010
content,00111000000
rule,10100011101
considered,00111011001
third,10010000111
automated,00011111111
time,10010001101
windows,10001110101
recover,11101101111
desktop,00100011101
user,10011110010
web,10001011111
understanding,10010100010
monthly,11001010110
frequently,01110111110
security,10100100100
priy,11111111100
preferred,11111100001
watch,10001011001
assumed,00011011101
regarding,11101100001
interface,01001001000
input,01011001111
applicable,00001001100
rfi,10100001010
memory,11000100010
application,00001000100
face,01111001010
performance,11010000110
serial,10101101011
capable,00010000101
advantage,00001100100
make,11000011110
engineering,01101111011
broadcasts,00010010000
properly,11111001000
unexpected,10011100000
requirements,11100010101
property,11111001011
output,11010101010
withinpage,10001111111
information,01011011111
clearly,00110110101
system,10110010001
allowing,00001110110
system,10110010001
pages,11010110111
prevent,11111101100
requirements,11100010101
control,00101000111
mobile,11001111101
internally,01001011010
meeting,11000100100
applicable,00001001100
user,10011110010
change,00110011011
important,01011101001
used,10011110111
records,11101101110
different,00100000111
real,11101010011
cpan,00101110000
occur,11011110110
shall,10101110100
designed,00100010101
user,10011110010
warning,10001001000
stream,10111100101
plus,11110010001
budget,00010010110
existing,01101000010
queries,11101001100
title,10010001110
specific,10111001100
software,10101000011
shall,10101110100
authentication,00011110010
shows,10101010011
including,01011111101
new,11011001100
action,00000110011
user,10011110010
using,10011011100
error,01101010011
system,10110010001
understanding,10010100010
auto,00011111100
customer,00101101001
captcha,00010000110
iso,01001111111
processing,11111110001
minimal,11001101001
resolve,11100001000
requests,11100010011
stamp,10111010110
user,10011110010
networks,11011000101
tables,10110010111
typical,10010111011
groups,01010000001
nans,11001001111
number,11011010011
carrying,00110000010
denied,00100110100
using,10011011100
date,00100100001
overall,11010101001
system,10110010001
needs,11011000001
navigating,11001000111
different,00100000111
include,01011111010
user,10011110010
application,00001000100
necessary,11001000001
broadcaster,00010110011
status,10111111110
making,11000011101
large,01000101011
accurate,00000010101
monitor,11001010000
halal,01010001100
courts,00101010000
application,00001000100
security,10100100100
basic,00010100011
phone,11110001111
sets,10101111101
tested,10110000010
information,01011011111
cross,00101111010
system,10110010001
specific,10111001100
perceiving,11010000100
interfaces,01001011000
process,11111110110
product,11111010010
make,11000011110
get,01110011001
layout,01000111011
issues,01001111001
channel,00110011101
prevent,11111101100
output,11010101010
must,11001011000
participants,11010010110
install,01011000101
system,10110010001
showing,10101010000
failure,01111011011
cctns,00110001011
captcha,00010000110
application,00001000100
name,11001001011
broadcast,00010110010
system,10110010001
store,10111101110
ision,01001111100
buffer,00010010111
suitable,10110101001
carried,00110000011
must,11001011000
provide,11111000110
presentation,11111100110
peers,11010001011
output,11010101010
members,11000100110
accessibility,00000001110
handle,01010001110
safety,10100010010
defaults,00100101100
rebroadcasting,11101110111
input,01011001111
external,01111001111
open,11011101010
media,11000101110
use,10011110101
required,11100010110
selecting,10100100000
allow,00001110101
allow,00001110101
individualization,01011010010
requests,11100010011
optional,11010100000
using,10011011100
shall,10101110100
user,10011110010
system,10110010001
system,10110010001
iso,01001111111
need,11001000000
screen,10100111100
database,00101100001
means,11000101000
access,00000001101
images,01011100001
implementation,01011101100
attributes,00011010000
use,10011110101
user,10011110010
minimizing,11001111011
generate,01110011111
important,01011101001
scan,10100110010
andor,00001011111
care,00110000000
textonly,10010000000
bookking,00010111011
user,10011110010
monitor,11001010000
leisure,01000110110
target,10110011010
meeting,11000100100
distinguishable,01100001000
processing,11111110001
screen,10100111100
long,11000000001
set,10101111111
go,01110001010
bootstrap,00010111111
unwanted,10011101000
certain,00110001001
baseline,00010100001
assemble,00011001000
printerfriendly,11111101000
individualization,01011010010
cannot,00010001101
user,10011110010
pages,11010110111
hardware,01010011000
sheets,10101110111
search,10100111011
level,01000010001
able,00000000011
date,00100100001
using,10011011100
safety,10100010010
valid,10011011011
error,01101010011
system,10110010001
formatted,01110100011
budget,00010010110
correctly,00101011001
like,01000010100
relevant,11100100100
performance,11010000110
time,10010001101
number,11011010011
changing,00110011111
must,11001011000
actions,00000110010
system,10110010001
navigation,11001000110
applications,00001000101
set,10101111111
accompanied,00000001000
potentially,11110101011
needed,11011000000
shall,10101110100
required,11100010110
ability,00000000001
shall,10101110100
essentially,01101010111
